Número de Procedimiento,Testigo Social,Entidad Federativa,Descripción,Tipo de Procedimiento,Tipo de Contratación,Fecha Publicación,Estado,Adjudicado A,Monto Adjudicado
CFE-0604-CSCON-0003-2025,NO,Baja California,MANTENIMIENTO DE LA INFRAESTRUCTURA DE LA TURBOGAS UNIDAD 3 DE LA CTG TIJUANA,Concurso simplificado,Contratación de Obras,22-04-2025,Adjudicado,"FASEI-INTECH S DE RL DE CV,","$1,800,376.34"
CFE-0604-CSSAN-0012-2025,NO,Baja California,SERVICIO MANTENIMIENTO A PISTONES HIDRÁULICOS DE VÁLVULAS DE PARO Y CONTROL DE VAPOR UNIDADES 5 Y 6 DE LA C.T. PRESIDENTE JUÁREZ,Concurso simplificado,Servicio por Abastecimiento,21-04-2025,Adjudicado,"RICARDO RUIZ DIAZ,","$501,835.00"
CFE-0604-CSAAN-0007-2025,NO,Baja California,ADQUISICIÓN DE EQUIPAMIENTO DE MOBILARIO PARA LA CENTRAL TERMOELÉCTRICA PRESIDENTE JUÁREZ,Concurso simplificado,Adquisición por Abastecimientos,11-04-2025,Adjudicado,"INTEGRADORA DE SERVICIOS Y ADQUISICIONES DE MEXICO SA DE CV,OFFICE FURNITURE MANUFACTURING S DE RL DE CV,","$538,572.00"
CFE-0604-CSSAN-0013-2025,NO,Baja California,SERVICIO DE MANTENIMIENTOS PREVENTIVOS A ELEVADORES TIPO INDUSTRIAL EN C.T. PRESIDENTE JUÁREZ,Concurso simplificado,Servicio por Abastecimiento,10-04-2025,Adjudicado,"PROVEEDORES INDUSTRIALES DE B C S DE RL DE CV,","$786,200.00"
CFE-0604-CSAAA-0006-2025,NO,Baja California,ADQUISICIÓN DE REFACCIONES DE CONTROL PARA EVAPORADORES DE LA C.C.C. PRESIDENTE JUÁREZ,Concurso simplificado,Adquisición por Abastecimientos,04-04-2025,Adjudicado,"TECAM TECNOLOGIAS AMBIENTALES DE MEXICO S DE RL DE CV,","$1,555,163.64"
CFE-0604-CSAAA-0005-2025,NO,Baja California,ADQUISICIÓN DE CABLE PARA ALTA TEMPERATURA PARA LAS UNIDADES 8 Y 9 DE LA CENTRAL CICLO COMBINADO PRESIDENTE JUÁREZ,Concurso simplificado,Adquisición por Abastecimientos,03-04-2025,Adjudicado,"ELECTRICA VIRGO SA DE CV,","$816,000.00"
CFE-0604-CSSAN-0011-2025,NO,Baja California,SERVICIO DE MANTENIMIENTO AL REGULADOR AUTOMÁTICO DE TENSIÓN DE LA UNIDAD 6 DE LA C.T. PRESIDENTE JUÁREZ,Concurso simplificado,Servicio por Abastecimiento,02-04-2025,Desierto,,$0.00
CFE-0604-CSSAN-0010-2025,NO,Baja California,SERVICIO DE MANTENIMIENTO TRANSFORMADOR PRINCIPAL Y SUMINISTRO DE BOLSA PARA TANQUE CONSERVADOR UNIDAD 1 C.T.G. CIPRES,Concurso simplificado,Servicio por Abastecimiento,02-04-2025,Adjudicado,"DYMELEC SA DE CV,","$370,742.13"
CFE-0604-CSCON-0002-2025,NO,Baja California,REHABILITACIÓN DE JUNTAS DE EXPANSIÓN CALDERA U6 DE LA C.T. PRESIDENTE JUÁREZ,Concurso simplificado,Contratación de Obras,01-04-2025,Adjudicado,"FASEI-INTECH S DE RL DE CV,","$1,822,222.75"
CFE-0604-CSSAN-0009-2025,NO,Baja California,SERVICIO DE MANTENIMIENTO PREVENTIVO A MOTORES ELÉCTRICOS DE LA UNIDAD 6 DE LA C.T. PRESIDENTE JUÁREZ,Concurso simplificado,Servicio por Abastecimiento,01-04-2025,Adjudicado,"PROBILL CONSTRUCCIONES SA DE CV,","$1,399,829.90"
CFE-0604-CSSAN-0008-2025,NO,Baja California,"SERVICIO DE REBOBINADO DE MOTORES ELÉCTRICOS DE LA C.T. PRESIDENTE JUÁREZ, C.C.C. PRESIDENTE JUÁREZ Y C.T.G. TIJUANA.",Concurso simplificado,Servicio por Abastecimiento,01-04-2025,Adjudicado,"RECONSTRUCTORA ALPHA SA DE CV,","$1,431,390.72"
CFE-0604-CSAAA-0004-2025,NO,Baja California,ADQUISICIÓN DE EQUIPO PATRON PARA EL DEPARTAMENTO DE INSTRUMENTACIÓN Y CONTROL DE LA C.C.C. PRESIDENTE JUÁREZ-SEGUNDO EVENTO,Concurso simplificado,Adquisición por Abastecimientos,11-03-2025,Adjudicado,"PROVEEDORES INDUSTRIALES DE EQUIPOS Y REFACCIONES UNIVERSALES SA,","$199,298.33"
CFE-0604-CSAAN-0006-2025,NO,Baja California,ADQUISICIÓN DE TUBERÍAS Y ACCESORIOS PARA DRENES DE LAS UNIDADES 10 Y 11 C.C.C. PRESIDENTE JUÁREZ,Concurso simplificado,Adquisición por Abastecimientos,10-03-2025,Adjudicado,"MARIA CECILIA CUENCA CALPE,","$1,152,973.94"
CFE-0604-CSCON-0001-2025,NO,Baja California,REHABILITACIÓN DE REJILLAS EN OBRAS DE TOMA DE LA C.C.C. PRESIDENTE JUÁREZ,Concurso simplificado,Contratación de Obras,06-03-2025,Adjudicado,"COMPAÑIA ABASTECEDORA MEXICANA SA DE CV,","$1,808,665.28"
CFE-0604-CSAAN-0005-2025,NO,Baja California,SUMINISTRO DE BIENES Y SERVICIO DE MANTENIMIENTO PARA MOTOR DIESEL DE ARRANQUE DE UNIDAD 1 C.T.G CIPRÊS.,Concurso simplificado,Adquisición por Abastecimientos,06-03-2025,Adjudicado,"INGENIERIA INSPECCION Y DESAZOLVE SA DE CV,","$609,319.10"
CFE-0604-CSSAN-0007-2025,NO,Baja California,SERVICIO DE MANTENIMIENTO DE CAJAS Y FLUXERIA DE CONDENSADORES DE LA C.T Y C.C.C. PRESIDENTE JUAREZ,Concurso simplificado,Servicio por Abastecimiento,04-03-2025,Adjudicado,"NORBERTO TORRES VEA,OLGA LORENA PADILLA GALVAN,","$396,399.50"
CFE-0604-CSSAN-0006-2025,NO,Baja California,SERVICIO DE MANTENIMIENTO A EQUIPOS DEL SISTEMA AIRE-GASES DE LA UNIDAD 6 DE LA C.T. PRESIDENTE JUÁREZ,Concurso simplificado,Servicio por Abastecimiento,27-02-2025,Adjudicado,"RAMON REGALADO CASTORENA,","$1,876,251.90"
CFE-0604-CSAAA-0003-2025,NO,Baja California,ADQUISICIÓN DE FILTROS DE AIRE DE SUCCIÓN PARA COMPRESOR AXIAL DE A UNIDAD 1 EN LA CENTRAL TURBOGAS CIPRES,Concurso simplificado,Adquisición por Abastecimientos,19-02-2025,Adjudicado,"PROVEEDORES INDUSTRIALES DE EQUIPOS Y REFACCIONES UNIVERSALES SA,","$289,839.12"
CFE-0604-CSSAN-0005-2025,NO,Baja California,SERVICIO DE MANTENIMIENTO RUTINARIO Y PREVENTIVO DEL PARQUE VEHICULAR DE LA C.T. PRESIDENTE JUÁREZ,Concurso simplificado,Servicio por Abastecimiento,17-02-2025,Adjudicado,"AUTOSERVICIO CORDOVA SA DE CV,","$829,350.00"
